,Title,Theme,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,
47,Exclusive: Padma Bhushan Dr David Frawley Explains Why Opposition Fears Ram Mandir | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,24m 10s,2024-01-05T16:06:13Z,152980,3492,319,public,,19,
48,ISIS-ISI-Taliban: Combined Threat For Bharat? | Huge Numbers Of ISIS Sympathisers In India | News18,Others,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 14s,2024-01-05T16:00:15Z,1552,15,2,public,,20,
49,Exclusive: Jain Seer Lokesh Muni Recalls 1992 Peace Talks Amid 'Rajniti' Over Ram | Ram Mandir News,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,13m,2024-01-04T16:15:32Z,895,14,1,public,,16,
50,"Delhi, Daaru, Dawai: 'Imaandaar' Image Dented? | Arvind Kejriwal Latest News | ED Summons | News18",Criticizing Opposition,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,35m 24s,2024-01-04T15:38:32Z,9542,67,34,public,,19,
51,"Exclusive: Pujya Puri Shankaracharya Ji On Hindu, Hindutva, And Hindustan | English News | News18",Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,30m 3s,2024-01-03T17:33:38Z,79405,2660,1047,public,,22,
52,"CAA Notification Soon, Aiding 'Vistapit' Hindus Or 2024 Poll Move? | CAA Latest News | News18",Other political themes,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,24m 3s,2024-01-03T16:40:27Z,1083,9,2,public,,17,
53,Ram Mandir | Archaeologist KK Muhammed Exclusive Interview On The Ram Janmabhoomi | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,14m 32s,2024-01-02T16:03:05Z,151082,2798,471,public,,19,
54,Author Priyam Gandhi Mody Talks To News18 About Her Latest Book ' What If There Was No Congress',Criticizing Opposition,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,8m 50s,2024-01-02T15:40:21Z,1408,20,2,public,,16,
55,Ram Mandir News | Asaduddin Owaisi's Remark On Ram Mandir Sparks Political Controversy | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,30m 18s,2024-01-02T15:28:39Z,1564,8,7,public,,22,
0,Electoral Bonds Declared 'Unconstitutional' By SC | Supreme Court Verdict On Electoral Bonds News,Legal issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 9s,2024-02-15T15:18:46Z,2820,28,8,18,,,
